docname,topic,proportion
blog_content_cleaned.csv:126,003,0.196072
blog_content_cleaned.csv:161,001,0.617971
blog_content_cleaned.csv:161,000,0.225393
blog_content_cleaned.csv:161,004,0.098159
blog_content_cleaned.csv:161,006,0.058476
blog_content_cleaned.csv:191,003,0.929175
blog_content_cleaned.csv:191,006,0.053521
blog_content_cleaned.csv:191,001,0.017304
blog_content_cleaned.csv:226,001,0.560579
blog_content_cleaned.csv:226,005,0.435883
blog_content_cleaned.csv:226,000,0.003538
blog_content_cleaned.csv:261,002,0.571337
blog_content_cleaned.csv:261,001,0.428663
blog_content_cleaned.csv:296,005,0.630662
blog_content_cleaned.csv:296,002,0.186127
blog_content_cleaned.csv:296,004,0.085443
blog_content_cleaned.csv:296,001,0.057729
blog_content_cleaned.csv:296,003,0.040039
blog_content_cleaned.csv:331,003,0.892113
blog_content_cleaned.csv:331,000,0.107887
blog_content_cleaned.csv:366,006,0.856976
blog_content_cleaned.csv:366,004,0.143024
blog_content_cleaned.csv:26,006,0.466275
blog_content_cleaned.csv:26,001,0.291171
blog_content_cleaned.csv:26,000,0.242554
blog_content_cleaned.csv:61,004,1.0
blog_content_cleaned.csv:96,003,0.521021
blog_content_cleaned.csv:96,004,0.350272
blog_content_cleaned.csv:96,001,0.128706
blog_content_cleaned.csv:131,001,0.454659
blog_content_cleaned.csv:131,004,0.238114
blog_content_cleaned.csv:131,003,0.155799
blog_content_cleaned.csv:131,005,0.151429
blog_content_cleaned.csv:166,005,0.382157
blog_content_cleaned.csv:166,002,0.2881
blog_content_cleaned.csv:166,001,0.17513
blog_content_cleaned.csv:166,003,0.154613
blog_content_cleaned.csv:196,004,0.930867
blog_content_cleaned.csv:196,005,0.069133
blog_content_cleaned.csv:231,004,0.470065
blog_content_cleaned.csv:231,000,0.297901
blog_content_cleaned.csv:231,006,0.169739
blog_content_cleaned.csv:231,001,0.062295
blog_content_cleaned.csv:266,004,0.506332
blog_content_cleaned.csv:266,003,0.347058
blog_content_cleaned.csv:266,001,0.14661
blog_content_cleaned.csv:301,000,0.338174
blog_content_cleaned.csv:301,005,0.198052
blog_content_cleaned.csv:301,002,0.191837
blog_content_cleaned.csv:301,006,0.171697
blog_content_cleaned.csv:301,003,0.100241
blog_content_cleaned.csv:336,005,0.846822
blog_content_cleaned.csv:336,002,0.153178
blog_content_cleaned.csv:371,006,0.872183
blog_content_cleaned.csv:371,001,0.109548
blog_content_cleaned.csv:371,000,0.018269
blog_content_cleaned.csv:7,002,0.595064
blog_content_cleaned.csv:7,003,0.404936
blog_content_cleaned.csv:42,002,0.380059
blog_content_cleaned.csv:42,003,0.262628
blog_content_cleaned.csv:42,001,0.21142
blog_content_cleaned.csv:42,005,0.145893
blog_content_cleaned.csv:77,001,0.601211
